iter	Passed	Remaining
600	27331	18144
601	27392	18109
602	27457	18077
603	27517	18041
604	27588	18012
605	27635	17967
606	27691	17928
607	27742	17886
608	27798	17847
609	27861	17813
610	27922	17777
611	27980	17739
612	28027	17694
613	28091	17660
614	28163	17630
615	28251	17611
616	28337	17590
617	28442	17581
618	28533	17562
619	28648	17559
620	28718	17526
621	28783	17492
622	28839	17451
623	28894	17410
624	28950	17370
625	29015	17335
626	29090	17305
627	29166	17277
628	29239	17246
629	29311	17214
630	29375	17178
631	29458	17153
632	29547	17130
633	29641	17111
634	29702	17072
635	29770	17038
636	29817	16991
637	29894	16961
638	29941	16915
639	29986	16867
640	30042	16825
641	30144	16809
642	30230	16784
643	30304	16752
644	30421	16743
645	30509	16719
646	30589	16689
647	30667	16659
648	30742	16626
649	30807	16588
650	30867	16548
651	30938	16513
652	31002	16474
653	31066	16435
654	31133	16398
655	31187	16354
656	31233	16306
657	31276	16256
658	31323	16208
659	31368	16159
660	31411	16109
661	31453	16059
662	31503	16013
663	31551	15965
664	31596	15916
665	31646	15870
666	31693	15822
667	31740	15775
668	31787	15727
669	31833	15679
670	31881	15632
671	31930	15585
672	31977	15537
673	32024	15489
674	32070	15441
675	32122	15396
676	32197	15361
677	32243	15313
678	32294	15267
679	32342	15219
680	32388	15171
681	32436	15124
682	32483	15076
683	32534	15030
684	32582	14983
685	32635	14937
686	32691	14894
687	32749	14851
688	32836	14821
689	32893	14778
690	32954	14736
691	33010	14692
692	33074	14652
693	33133	14609
694	33206	14572
695	33275	14533
696	33334	14491
697	33409	14454
698	33465	14410
699	33531	14370
700	33584	14325
701	33637	14279
702	33689	14233
703	33743	14187
704	33798	14142
705	33856	14098
706	33916	14055
707	33967	14009
708	34016	13961
709	34064	13913
710	34122	13869
711	34187	13828
712	34250	13786
713	34320	13747
714	34390	13708
715	34472	13673
716	34546	13635
717	34605	13591
718	34647	13540
719	34689	13490
720	34732	13440
721	34780	13392
722	34834	13345
723	34890	13300
724	34948	13256
725	35006	13211
726	35075	13171
727	35130	13125
728	35185	13080
729	35236	13032
730	35296	12988
731	35353	12943
732	35417	12900
733	35484	12859
734	35541	12814
735	35597	12768
736	35651	12722
737	35698	12673
738	35753	12627
739	35823	12586
740	35879	12540
741	35920	12489
742	35967	12440
743	36009	12390
744	36054	12340
745	36097	12290
746	36145	12241
747	36192	12193
748	36249	12147
749	36331	12110
750	36397	12067
751	36464	12025
752	36556	11991
753	36646	11956
754	36725	11917
755	36787	11873
756	36846	11827
757	36905	11782
758	36962	11736
759	37026	11692
760	37075	11643
761	37126	11595
762	37185	11550
763	37263	11510
764	37322	11465
765	37401	11425
766	37462	11380
767	37515	11332
768	37587	11291
769	37642	11243
770	37701	11198
771	37754	11150
772	37810	11103
773	37870	11057
774	37926	11010
775	37987	10965
776	38046	10919
777	38097	10871
778	38143	10821
779	38191	10771
780	38256	10727
781	38320	10682
782	38384	10637
783	38487	10603
784	38559	10560
785	38660	10525
786	38728	10481
787	38825	10445
788	38892	10400
789	38941	10351
790	39011	10307
791	39075	10262
792	39137	10216
793	39203	10171
794	39264	10124
795	39325	10078
796	39386	10032
797	39443	9984
798	39498	9936
799	39552	9888
800	39604	9839
801	39648	9788
802	39693	9737
803	39738	9687
804	39796	9640
805	39840	9589
806	39883	9538
807	39925	9487
808	39960	9434
